annotation_id,source_id,line_number,tag,keyword,value
1,1,11,begin,@begin,clean_name_and_date_workflow
2,1,12,in,@in,input1_data
3,1,12,uri,@uri,file:demo_input.csv
4,1,12,as,@as,original_dataset
5,1,13,param,@param,local_authority_source
6,1,13,uri,@uri,file:demo_localDB.csv
7,1,14,out,@out,name_val_log
8,1,14,uri,@uri,file:name_val_log.txt
9,1,14,as,@as,name_cleaning_log
10,1,15,out,@out,output2_data
11,1,15,uri,@uri,file:demo_output_name_date_val.csv
12,1,15,as,@as,data_with_cleaned_names_and_dates
13,1,16,out,@out,date_val_log
14,1,16,uri,@uri,file:date_val_log.txt
15,1,16,as,@as,date_cleaning_log
16,1,20,begin,@begin,clean_scientific_name
17,1,20,desc,@desc,Clean scientificName field
18,1,21,param,@param,local_authority_source
19,1,21,uri,@uri,file:demo_localDB.csv
20,1,22,in,@in,input1_data
21,1,22,uri,@uri,file:demo_input.csv
22,1,22,as,@as,original_dataset
23,1,23,out,@out,output1_data
24,1,23,uri,@uri,file:demo_output_name_val.csv
25,1,23,as,@as,data_with_cleaned_names
26,1,24,out,@out,name_val_log
27,1,24,uri,@uri,file:name_val_log.txt
28,1,24,as,@as,name_cleaning_log
29,1,25,out,@out,record_id_data
30,1,25,uri,@uri,file:record_id.txt
31,1,45,begin,@begin,initialize_run
32,1,45,desc,@desc,Create the run log file
33,1,46,out,@out,name_val_log
34,1,46,uri,@uri,file:name_val_log.txt
35,1,46,as,@as,name_cleaning_log
36,1,47,log,@log,{timestamp} Reading input records from {input1_data_file_name}
37,1,53,end,@end,initialize_run
38,1,57,begin,@begin,read_scientific_name
39,1,57,desc,@desc,Read scientificName from local authority source
40,1,58,param,@param,local_authority_source
41,1,58,uri,@uri,file:demo_localDB.csv
42,1,59,call,@call,fieldmatch
43,1,60,out,@out,local_authority_source_scientificName_lst
44,1,60,as,@as,local_authority_source_scientificName_list
45,1,90,end,@end,read_scientific_name
46,1,94,begin,@begin,read_data_records
47,1,94,desc,@desc,Read original dataset
48,1,95,in,@in,input1_data
49,1,95,uri,@uri,file:demo_input.csv
50,1,95,as,@as,original_dataset
51,1,96,out,@out,original_scientificName
52,1,96,as,@as,scientificName
53,1,97,out,@out,original_authorship
54,1,97,as,@as,authorship
55,1,98,out,@out,RecordID
56,1,99,out,@out,original_others
57,1,99,as,@as,other_fields
58,1,100,out,@out,record_id_data
59,1,100,uri,@uri,file:record_id.txt
60,1,101,out,@out,name_val_log
61,1,101,uri,@uri,file:name_val_log.txt
62,1,101,as,@as,name_cleaning_log
63,1,102,log,@log,{timestamp} Reading input record {RecordID}
64,1,134,end,@end,read_data_records
65,1,138,begin,@begin,check_if_name_is_nonempty
66,1,138,desc,@desc,Check if scientificName value is present
67,1,139,in,@in,original_scientificName
68,1,139,as,@as,scientificName
69,1,140,out,@out,original_scientificName
70,1,140,as,@as,empty_scientificName
71,1,141,out,@out,original_scientificName
72,1,141,as,@as,nonEmpty_scientificName
73,1,142,out,@out,name_val_log
74,1,142,uri,@uri,file:name_val_log.txt
75,1,142,as,@as,name_cleaning_log
76,1,143,log,@log,{timestamp} Checking if {field_name} value is Empty - {check_result}
77,1,159,end,@end,check_if_name_is_nonempty
78,1,163,begin,@begin,log_name_is_empty
79,1,163,desc,@desc,Log records of empty scientific name with final status as unable to validate
80,1,164,param,@param,RecordID
81,1,165,in,@in,original_scientificName
82,1,165,as,@as,empty_scientificName
83,1,166,out,@out,final_result
84,1,166,as,@as,record_final_status
85,1,167,out,@out,rejected_record_count
86,1,167,as,@as,unable-to-validate_record_count
87,1,168,out,@out,name_val_log
88,1,168,uri,@uri,file:name_val_log.txt
89,1,168,as,@as,name_cleaning_log
90,1,169,log,@log,{timestamp} {final_result} the record {RecordID}
91,1,182,end,@end,log_name_is_empty
92,1,188,begin,@begin,find_name_match
93,1,189,desc,@desc,Find if the scientificName matches any record in the local authority source using exact and fuzzy match
94,1,190,in,@in,original_scientificName
95,1,190,as,@as,nonEmpty_scientificName
96,1,191,param,@param,local_authority_source_scientificName_lst
97,1,191,as,@as,local_authority_source_scientificName_list
98,1,192,call,@call,exactmatch
99,1,193,call,@call,fieldmatch
100,1,194,out,@out,matching_local_authority_source_record
101,1,194,as,@as,matching_record
102,1,195,out,@out,match_result
103,1,196,out,@out,final_result
104,1,196,as,@as,record_final_status
105,1,197,out,@out,matching_method
106,1,198,out,@out,name_val_log
107,1,198,uri,@uri,file:name_val_log.txt
108,1,198,as,@as,name_cleaning_log
109,1,199,log,@log,{timestamp} Trying {check_type} {source_used} {match_method} match for validating {field_name}: <{field_name_value}>
110,1,200,log,@log,"{timestamp} {match_method} match was {match_result}, compliant with {source_used}: {compliant_result}."
111,1,227,end,@end,find_name_match
112,1,233,begin,@begin,log_match_not_found
113,1,233,desc,@desc,Log record where no match is found in authority source final status as unable to validate
114,1,234,param,@param,RecordID
115,1,235,in,@in,final_result
116,1,235,as,@as,record_final_status
117,1,236,in,@in,match_result
118,1,237,out,@out,rejected_record_count
119,1,237,as,@as,unable-to-validate_record_count
120,1,238,out,@out,name_val_log
121,1,238,uri,@uri,file:name_val_log.txt
122,1,238,as,@as,name_cleaning_log
123,1,239,log,@log,{timestamp} {final_result} the record {RecordID}
124,1,252,end,@end,log_match_not_found
125,1,257,begin,@begin,update_scientific_name
126,1,257,desc,@desc,Update scientificName if fuzzy match is found
127,1,258,in,@in,matching_method
128,1,259,in,@in,match_result
129,1,260,in,@in,matching_local_authority_source_record
130,1,260,as,@as,matching_record
131,1,261,out,@out,updated_scientificName
132,1,269,end,@end,update_scientific_name
133,1,274,begin,@begin,update_authorship
134,1,274,desc,@desc,Update authorship if fuzzy match is found
135,1,275,in,@in,original_authorship
136,1,275,as,@as,authorship
137,1,276,in,@in,matching_method
138,1,277,in,@in,matching_local_authority_source_record
139,1,277,as,@as,matching_record
140,1,278,out,@out,updated_authorship
141,1,288,end,@end,update_authorship
142,1,294,begin,@begin,log_updated_record
143,1,294,desc,@desc,Log records updating from old value to new value
144,1,295,in,@in,updated_scientificName
145,1,296,in,@in,updated_authorship
146,1,297,in,@in,original_authorship
147,1,297,as,@as,authorship
148,1,298,out,@out,name_val_log
149,1,298,uri,@uri,file:name_val_log.txt
150,1,298,as,@as,name_cleaning_log
151,1,299,log,@log,{timestamp} UPDATING record {RecordID}: {field_name} from <{original_value}> to <{updated_value}>
152,1,317,end,@end,log_updated_record
153,1,321,begin,@begin,log_accepted_record
154,1,321,desc,@desc,Log record final status as accepted
155,1,322,param,@param,RecordID
156,1,323,in,@in,final_result
157,1,323,as,@as,record_final_status
158,1,324,out,@out,accepted_record_count
159,1,325,out,@out,name_val_log
160,1,325,uri,@uri,file:name_val_log.txt
161,1,325,as,@as,name_cleaning_log
162,1,326,log,@log,{timestamp} {final_result} the record {RecordID}
163,1,331,end,@end,log_accepted_record
164,1,336,begin,@begin,write_data_into_file
165,1,336,desc,@desc,Write data into a new file
166,1,337,in,@in,original_others
167,1,337,as,@as,other_fields
168,1,338,in,@in,original_scientificName
169,1,338,as,@as,scientificName
170,1,339,in,@in,original_authorship
171,1,339,as,@as,authorship
172,1,340,in,@in,updated_scientificName
173,1,341,in,@in,updated_authorship
174,1,342,out,@out,output1_data
175,1,342,uri,@uri,file:demo_output_name_val.csv
176,1,342,as,@as,data_with_cleaned_names
177,1,347,end,@end,write_output1_data
178,1,351,begin,@begin,log_summary
179,1,351,desc,@desc,Summarize on all the records
180,1,352,in,@in,accepted_record_count
181,1,353,in,@in,rejected_record_count
182,1,353,as,@as,unable-to-validate_record_count
183,1,354,out,@out,name_val_log
184,1,354,uri,@uri,file:name_val_log.txt
185,1,354,as,@as,name_cleaning_log
186,1,355,log,@log,{timestamp} Wrote {accepted_record_count} ACCEPTED records to {output1_data_file_name}
187,1,356,log,@log,{timestamp} Wrote {rejected_record_count} UNABLE-to-validate records to {output1_data_file_name}
188,1,363,end,@end,log_summary
189,1,367,end,@end,clean_scientific_name
190,1,371,begin,@begin,clean_event_date
191,1,371,desc,@desc,Clean eventDate field
192,1,372,in,@in,output1_data
193,1,372,uri,@uri,file:demo_output_name_val.csv
194,1,372,as,@as,data_with_cleaned_names
195,1,373,param,@param,record_id_data
196,1,373,uri,@uri,file:record_id.txt
197,1,374,out,@out,output2_data
198,1,374,uri,@uri,file:demo_output_name_date_val.csv
199,1,374,as,@as,data_with_cleaned_names_and_dates
200,1,375,out,@out,date_val_log
201,1,375,uri,@uri,file:date_val_log.txt
202,1,375,as,@as,date_cleaning_log
203,1,392,begin,@begin,initialize_run
204,1,392,desc,@desc,Create the run log file
205,1,393,out,@out,date_val_log
206,1,393,uri,@uri,file:date_val_log.txt
207,1,393,as,@as,date_cleaning_log
208,1,394,log,@log,{timestamp} Reading input records from {input2_data_file_name}
209,1,400,end,@end,initialize_run
210,1,404,begin,@begin,read_data_records
211,1,404,desc,@desc,Read data with cleaned names
212,1,405,in,@in,input2_data
213,1,405,uri,@uri,file:demo_output_name_val.csv
214,1,405,as,@as,data_with_cleaned_names
215,1,406,in,@in,record_id_data
216,1,406,uri,@uri,file:record_id.txt
217,1,407,out,@out,original2_eventDate
218,1,407,as,@as,eventDate
219,1,408,out,@out,RecordID
220,1,409,out,@out,original2_others
221,1,409,as,@as,other_fields
222,1,410,out,@out,date_val_log
223,1,410,uri,@uri,file:date_val_log.txt
224,1,410,as,@as,date_cleaning_log
225,1,411,log,@log,{timestamp} Reading input record {RecordID}
226,1,441,end,@end,read_input2_data_records
227,1,445,begin,@begin,check_if_date_is_nonempty
228,1,445,desc,@desc,Check if eventDate value is present
229,1,446,in,@in,original2_eventDate
230,1,446,as,@as,eventDate
231,1,447,out,@out,original2_eventDate
232,1,447,as,@as,empty_eventDate
233,1,448,out,@out,original2_eventDate
234,1,448,as,@as,nonEmpty_eventDate
235,1,449,out,@out,date_val_log
