log_variable_id,variable_name,log_template_id
1,timestamp,1
2,input1_data_file_name,1
3,timestamp,2
4,RecordID,2
5,timestamp,3
6,field_name,3
7,check_result,3
8,timestamp,4
9,final_result,4
10,RecordID,4
11,timestamp,5
12,check_type,5
13,source_used,5
14,match_method,5
15,field_name,5
16,field_name_value,5
17,timestamp,6
18,match_method,6
19,match_result,6
20,source_used,6
21,compliant_result,6
22,timestamp,7
23,final_result,7
24,RecordID,7
25,timestamp,8
26,RecordID,8
27,field_name,8
28,original_value,8
29,updated_value,8
30,timestamp,9
31,final_result,9
32,RecordID,9
33,timestamp,10
34,accepted_record_count,10
35,output1_data_file_name,10
36,timestamp,11
37,rejected_record_count,11
38,output1_data_file_name,11
39,timestamp,12
40,input2_data_file_name,12
41,timestamp,13
42,RecordID,13
43,timestamp,14
44,field_name,14
45,check_result,14
46,timestamp,15
47,final_result,15
48,RecordID,15
49,timestamp,16
50,check_type,16
51,source_used,16
52,match_method,16
53,field_name,16
54,field_name_value,16
55,timestamp,17
56,match_method,17
57,match_result,17
58,source_used,17
59,timestamp,18
60,RecordID,18
61,field_name,18
62,original_value,18
63,updated_value,18
64,timestamp,19
65,final_result,19
66,RecordID,19
67,timestamp,20
68,accepted2_record_count,20
69,output2_data_file_name,20
70,timestamp,21
71,rejected2_record_count,21
72,rejected2_data_file_name,21
